RealisticTripsSettings	int	avg_time_convenienceFood		55
RealisticTripsSettings	int	avg_time_electronics		56
RealisticTripsSettings	int	avg_time_entertainment		70
RealisticTripsSettings	int	avg_time_financial		58
RealisticTripsSettings	int	avg_time_food		59
RealisticTripsSettings	int	avg_time_furniture		60
RealisticTripsSettings	int	avg_time_meals		61
RealisticTripsSettings	int	avg_time_media		62
RealisticTripsSettings	int	avg_time_paper		63
RealisticTripsSettings	int	avg_time_petrochemicals		64
RealisticTripsSettings	int	avg_time_pharmaceuticals		65
RealisticTripsSettings	int	avg_time_plastics		66
RealisticTripsSettings	int	avg_time_prison		82
RealisticTripsSettings	int	avg_time_recreation		69
RealisticTripsSettings	int	avg_time_software		57
RealisticTripsSettings	int	avg_time_telecom		67
RealisticTripsSettings	int	avg_time_textiles		68
RealisticTripsSettings	int	avg_time_vehicles		71
RealisticTripsSettings	float	avg_work_hours_ft_wd		107
RealisticTripsSettings	float	avg_work_hours_ft_we		108
RealisticTripsSettings	float	avg_work_hours_pt_wd		110
RealisticTripsSettings	float	avg_work_hours_pt_we		111
RealisticTripsSettings	bool	better_trucks		132
RealisticTripsSettings	int	cityServices_avgday_pct		129
RealisticTripsSettings	int	cityServices_sat_pct		130
RealisticTripsSettings	int	cityServices_sun_pct		131
RealisticTripsSettings	int	cityServices_weekday_pct		128
RealisticTripsSettings	int	commercial_avgday_pct		121
RealisticTripsSettings	int	commercial_sat_pct		122
RealisticTripsSettings	int	commercial_sun_pct		123
RealisticTripsSettings	int	commercial_weekday_pct		120
RealisticTripsSettings	float	commute_top10per		3
RealisticTripsSettings	bool	commuter_trips		134
RealisticTripsSettings	DateFormatEnum	date_format		115
RealisticTripsSettings	int	daysPerMonth		114
RealisticTripsSettings	float	delay_factor		10
RealisticTripsSettings	bool	disable_early_shop_leisure		14
RealisticTripsSettings	DTSimulationEnum	dt_simulation		112
RealisticTripsSettings	float	entertainment_avgday		23
RealisticTripsSettings	float	entertainment_saturday		24
RealisticTripsSettings	float	entertainment_sunday		25
RealisticTripsSettings	float	entertainment_weekday		22
RealisticTripsSettings	int	evening_share		4
RealisticTripsSettings	timeEnum	high_school_end_time		90
RealisticTripsSettings	timeEnum	high_school_start_time		89
RealisticTripsSettings	float	holidays_per_year		16
RealisticTripsSettings	int	hospital_inpatient_average_hours		78
RealisticTripsSettings	int	hospital_inpatient_maximum_hours		81
RealisticTripsSettings	int	hospital_inpatient_minimum_hours		80
RealisticTripsSettings	int	hospital_inpatient_stddev_hours		79
RealisticTripsSettings	int	hospital_short_stay_average_hours		74
RealisticTripsSettings	int	hospital_short_stay_maximum_hours		77
RealisticTripsSettings	int	hospital_short_stay_minimum_hours		76
RealisticTripsSettings	int	hospital_short_stay_stddev_hours		75
RealisticTripsSettings	bool	hospital_stay_duration_enabled		72
RealisticTripsSettings	int	hospital_stay_inpatient_chance_pct		73
RealisticTripsSettings	int	household_cooldown_groceries_pct		38
RealisticTripsSettings	int	household_cooldown_health_fuel_pct		39
RealisticTripsSettings	int	household_cooldown_household_goods_pct		40
RealisticTripsSettings	float	household_cooldown_large_purchase_hours		44
RealisticTripsSettings	int	household_cooldown_large_purchases_pct		41
RealisticTripsSettings	int	household_cooldown_other_pct		42
RealisticTripsSettings	float	household_cooldown_regular_hours		43
RealisticTripsSettings	bool	household_shopping_cooldown_enabled		37
RealisticTripsSettings	int	industry_avgday_pct		125
RealisticTripsSettings	int	industry_sat_pct		126
RealisticTripsSettings	int	industry_sun_pct		127
RealisticTripsSettings	int	industry_weekday_pct		124
RealisticTripsSettings	int	lunch_break_percentage		12
RealisticTripsSettings	int	max_event_avg_day		145
RealisticTripsSettings	int	max_event_weekday		144
RealisticTripsSettings	int	max_event_weekend		146
RealisticTripsSettings	float	meals_avgday		19
RealisticTripsSettings	float	meals_saturday		20
RealisticTripsSettings	float	meals_sunday		21
RealisticTripsSettings	float	meals_weekday		18
RealisticTripsSettings	int	min_attraction		140
RealisticTripsSettings	int	min_event_avg_day		142
