Class	Type	Prop	Disabled	Order
AdjustAllSpeedLimitsSettings	SpeedUnit	SpeedUnitPreference		1
AdjustAllSpeedLimitsSettings	bool	SyncSliderWithSelection		2
AdjustAllSpeedLimitsSettings	int	PanelSliderIncrement		3
AdjustAllSpeedLimitsSettings	int	TooltipFontScale		4
AdjustAllSpeedLimitsSettings	bool	DoubleSpeedDisplay		5
AdjustAllSpeedLimitsSettings	bool	PanelTooltipsEnabled		6
AdjustAllSpeedLimitsSettings	bool	HideSpeedMarkers		7
AdjustAllSpeedLimitsSettings	int	ToolPanelPositionX	TRUE	8
AdjustAllSpeedLimitsSettings	int	ToolPanelPositionY	TRUE	9
AdjustAllSpeedLimitsSettings	bool	SelectionInfoExpanded		10
AdjustAllSpeedLimitsSettings	bool	SliderExpanded		11
AdjustAllSpeedLimitsSettings	bool	WholeCityExpanded		12
AdjustAllSpeedLimitsSettings	bool	StatsExpanded		13
AdjustAllSpeedLimitsSettings	bool	ShowUsage		14
AdjustSchoolCapacitySettings	int	ElementarySlider		1
AdjustSchoolCapacitySettings	int	HighSchoolSlider		2
AdjustSchoolCapacitySettings	int	CollegeSlider		3
AdjustSchoolCapacitySettings	int	UniversitySlider		4
AdjustSchoolCapacitySettings	bool	ControlEducationFees		5
AdjustSchoolCapacitySettings	int	ElementaryFeePercent		6
AdjustSchoolCapacitySettings	int	HighSchoolFeePercent		7
AdjustSchoolCapacitySettings	int	HigherEducationFeePercent		8
AdjustTransitSettings	bool	EnableDebugLogging	TRUE	1
AdjustTransitSettings	float	BusDepotScalar		2
AdjustTransitSettings	float	FerryDepotScalar		3
AdjustTransitSettings	float	SubwayDepotScalar		4
AdjustTransitSettings	float	TaxiDepotScalar		5
AdjustTransitSettings	float	TrainDepotScalar		6
AdjustTransitSettings	float	TramDepotScalar		7
AdjustTransitSettings	float	BusPassengerScalar		8
AdjustTransitSettings	float	TramPassengerScalar		9
AdjustTransitSettings	float	TrainPassengerScalar		10
AdjustTransitSettings	float	SubwayPassengerScalar		11
AdjustTransitSettings	float	ShipPassengerScalar		12
AdjustTransitSettings	float	FerryPassengerScalar		13
AdjustTransitSettings	float	AirplanePassengerScalar		14
AdvancedLineToolSettings	float	GuidelineTransparency		1
AdvancedRoadNamingSettings	string	BaseRouteSeparator		1
AdvancedRoadNamingSettings	string	RouteNumberSeparator		2
AdvancedRoadNamingSettings	bool	AllowMultipleRouteNumbers		3
AdvancedRoadNamingSettings	RouteNumberOrderingMode	OrderingMode		4
AdvancedRoadNamingSettings	string	OrderingModeOption		5
AdvancedRoadNamingSettings	bool	ShowAdvancedRouteDetails		6
AdvancedRoadNamingSettings	bool	EnableRouteShields		7
AdvancedRoadNamingSettings	RouteShieldSpacingPreset	RouteShieldSpacingPreset		8
AdvancedRoadNamingSettings	string	RouteShieldSpacingOption		9
AdvancedRoadNamingSettings	RouteShieldSizePreset	RouteShieldSizePreset		10
AdvancedRoadNamingSettings	string	RouteShieldSizeOption		11
AdvancedRoadNamingSettings	bool	EnableRouteShieldOcclusion		12
AdvancedRoadNamingSettings	int	RouteShieldOcclusionAngle		13
AdvancedRoadNamingSettings	bool	EnableRouteStatistics		14
AdvancedRoadNamingSettings	RouteStatisticsPreset	StatisticsPreset		15
AdvancedRoadNamingSettings	string	StatisticsPresetOption		16
AdvancedRoadNamingSettings	RouteVolumeAggregationMode	StatisticsVolumeMode		17
AdvancedRoadNamingSettings	string	StatisticsVolumeModeOption		18
AdvancedRoadNamingSettings	RouteFlowAggregationMode	StatisticsFlowMode		19
AdvancedRoadNamingSettings	string	StatisticsFlowModeOption		20
AdvancedRoadNamingSettings	int	StatisticsBusySegmentShare		21
AdvancedRoadNamingSettings	int	StatisticsBusyVolumePercentile		22
AdvancedRoadNamingSettings	int	StatisticsBottleneckSegmentShare		23
AdvancedRoadNamingSettings	int	StatisticsCongestionFlowThreshold		24
AdvancedRoadNamingSettings	RouteStatisticsRefreshRate	StatisticsRefreshRate		25
AdvancedRoadNamingSettings	string	StatisticsRefreshRateOption		26
AdvancedRoadNamingSettings	ProxyBinding	ToggleRenameBinding		27
AdvancedRoadNamingSettings	ProxyBinding	ToggleRoutesBinding		28
AdvancedRoadNamingSettings	bool	EnableSavedRenameRoutes		29
AdvancedRoadNamingSettings	bool	EnableLogging	TRUE	30
AdvancedRoadNamingSettings	bool	CombineRoadAggregates		31
AdvancedRoadNamingSettings	bool	CombineRoadAggregatesDefaultMigrated	TRUE	32
AdvancedRoadNamingSettings	bool	RouteStatisticsDefaultMigrated		33
AdvancedRoadNamingSettings	bool	RouteShieldsDefaultMigrated		34
AdvancedRoadNamingSettings	bool	SavedRenameRoutesDefaultMigrated		35
AdvancedSimulationSpeedSettings	Type	Type		1
AdvancedSimulationSpeedSettings	float	Step		2
AdvancedSimulationSpeedSettings	bool	ActualSpeed		3
AdvancedSimulationSpeedSettings	int	DecimalPlaces		4
AdvancedTPMSettings	int	DefaultGlobalTaxRate		1
AdvancedTPMSettings	bool	ShowTopLeftButton		2
AdvancedTPMSettings	int	UpdateSpeed		3
AdvancedTPMSettings	int	AdvancedWindowX		4
AdvancedTPMSettings	int	AdvancedWindowY		5
AdvancedTPMSettings	int	AdvancedWindowWidth		6
AdvancedTPMSettings	int	AdvancedWindowHeight		7
AdvancedTPMSettings	bool	AutoTaxEnabled		8
AdvancedTPMSettings	int	AutoTaxInterval		9
AdvancedTPMSettings	int	AutoTaxMinRate		10
AdvancedTPMSettings	int	AutoTaxMaxRate		11
AdvancedTPMSettings	int	AutoTaxHappinessWeight		12
AdvancedTPMSettings	string	AutoTaxExcludedResources		13
AdvancedTPMSettings	string	AutoTaxPerResourceRanges		14
AdvancedTPMSettings	int	AutoTaxProfitWeight		15
AdvancedTPMSettings	int	AutoTaxPanelOpacity		16
AdvancedTPMSettings	bool	AdaptiveLearningEnabled		17
AdvancedTPMSettings	int	LearningAggressiveness		18
AdvancedTPMSettings	bool	ShowAdvisorPanel		19
AdvancedTPMSettings	bool	UseGameZoneIcons		20
AdvancedTPMSettings	bool	DebugEnabled	TRUE	21
AdvancedTPMSettings	bool	ShowDebugPanel	TRUE	22
AdvancedTPMSettings	bool	ShowTips		23
AdvancedTransitOperationsSettings	bool	AutoOpenSelectionPanel		1
AllAboardSettings	int	TrainMaxDwellDelaySlider		1
AllAboardSettings	int	BusMaxDwellDelaySlider		2
AllTransitPlusTrucksSettings	bool	EnableDebugLogging	TRUE	1
AllTransitPlusTrucksSettings	bool	EnableDebugLogging	TRUE	2
AllTransitPlusTrucksSettings	bool	EnableFullLoadDispatchHelper		3
AllTransitPlusTrucksSettings	float	SemiTruckCargoScalar		4
AllTransitPlusTrucksSettings	float	DeliveryVanCargoScalar		5
AllTransitPlusTrucksSettings	float	CoalTruckScalar		6
AllTransitPlusTrucksSettings	float	MotorbikeDeliveryCargoScalar		7
AllTransitPlusTrucksSettings	float	CargoStationMaxTrucksScalar		8
AllTransitPlusTrucksSettings	bool	EnableCompanyTruckControl		9
AllTransitPlusTrucksSettings	float	ExtractorMaxTrucksScalar		10
AllTransitPlusTrucksSettings	float	IndustryMaxTrucksScalar		11
AllTransitPlusTrucksSettings	float	WarehouseMaxTrucksScalar		12
AllTransitPlusTrucksSettings	float	ParkMaintenanceDepotScalar		13
AllTransitPlusTrucksSettings	float	ParkMaintenanceVehicleCapacityScalar		14
AllTransitPlusTrucksSettings	float	ParkMaintenanceVehicleRateScalar		15
AllTransitPlusTrucksSettings	float	RoadMaintenanceDepotScalar		16
AllTransitPlusTrucksSettings	float	RoadMaintenanceVehicleCapacityScalar		17
AllTransitPlusTrucksSettings	float	RoadMaintenanceVehicleRateScalar		18
AllTransitPlusTrucksSettings	float	RoadWearScalar		19
AllTransitPlusTrucksSettings	bool	EnableLineVehicleCountTuner		20
AllTransitPlusTrucksSettings	float	BusDepotScalar		21
AllTransitPlusTrucksSettings	float	FerryDepotScalar		22
AllTransitPlusTrucksSettings	float	SubwayDepotScalar		23
AllTransitPlusTrucksSettings	float	TaxiDepotScalar		24
AllTransitPlusTrucksSettings	float	TrainDepotScalar		25
AllTransitPlusTrucksSettings	float	TramDepotScalar		26
AllTransitPlusTrucksSettings	bool	ShowServiceFuelRange		27
AllTransitPlusTrucksSettings	float	BusServiceFuelRangeScalar		28
AllTransitPlusTrucksSettings	float	TramServiceFuelRangeScalar		29
AllTransitPlusTrucksSettings	float	TrainServiceFuelRangeScalar		30
AllTransitPlusTrucksSettings	float	SubwayServiceFuelRangeScalar		31
AllTransitPlusTrucksSettings	float	BusPassengerScalar		32
AllTransitPlusTrucksSettings	float	TramPassengerScalar		33
AllTransitPlusTrucksSettings	float	TrainPassengerScalar		34
AllTransitPlusTrucksSettings	float	SubwayPassengerScalar		35
AllTransitPlusTrucksSettings	float	ShipPassengerScalar		36
AllTransitPlusTrucksSettings	float	FerryPassengerScalar		37
AllTransitPlusTrucksSettings	float	AirplanePassengerScalar		38
AnarchySettings	bool	AnarchicBulldozer		1
AnarchySettings	bool	ShowTooltip		2
AnarchySettings	bool	FlamingChirper		3
AnarchySettings	bool	ToolIcon		4
AnarchySettings	bool	ShowElevationToolOption		5
AnarchySettings	bool	ResetElevationWhenChangingPrefab		6
AnarchySettings	bool	DisableAnarchyWhileBrushing		7
AnarchySettings	bool	NetworkAnarchyToolOptions		8
AnarchySettings	bool	NetworkUpgradesToolOptions		9
AnarchySettings	bool	ElevationStepSlider		10
AnarchySettings	bool	NetworkUpgradesPrefabs		11
AnarchySettings	bool	ReplaceUpgradesBehavior		12
AnarchySettings	bool	ResetNetworkToolOptionsWhenChangingPrefab		13
AnarchySettings	float	MinimumClearanceBelowElevatedNetworks		14
AnarchySettings	bool	PreventAccidentalPropCulling		15
AnarchySettings	int	PropRefreshFrequency		16
AnarchySettings	ProxyBinding	SecondaryApplyMimic		17
AnarchySettings	bool	AllowPlacingMultipleUniqueBuildings		18
AnarchySettings	bool	PreventOverrideInEditor		19
AnarchySettings	ProxyBinding	ToggleAnarchy		20
AnarchySettings	ProxyBinding	ResetElevation		21
AnarchySettings	ProxyBinding	ElevationStep		22
AnarchySettings	ProxyBinding	IncreaseElevationMimic		23
AnarchySettings	ProxyBinding	DecreaseElevationMimic		24
AnarchySettings	bool	UseElevationMimics		25
AnarchySettings	ProxyBinding	IncreaseElevation		26
AnarchySettings	ProxyBinding	DecreaseElevation		27
AnarchySettings	bool	ElevationLock		28
AreaBucketSettings	float	MinGeneratedLineLength		1
AreaBucketSettings	bool	UseExperientalOption		2
AreaBucketSettings	bool	DrawAreaOverlay		3
AreaBucketSettings	bool	PreviewSurface		4
AreaBucketSettings	bool	AlterVanillaGeometrySystem		5
AreaBucketSettings	bool	ShowDebugOption	TRUE	6
AreaBucketSettings	float	MaxFillingRange		7
AreaBucketSettings	ProxyBinding	AreaBucketToolApply		8
AreaBucketSettings	ProxyBinding	Dump		9
AreaBulldozerSettings	bool	DeleteTrees		1
AreaBulldozerSettings	bool	DeleteBuildings		2
AreaBulldozerSettings	bool	DeleteRoads		3
AreaBulldozerSettings	bool	DeletePaths		4
AreaBulldozerSettings	bool	DeleteRailways		5
AreaBulldozerSettings	bool	DeleteSurfaces		6
AreaBulldozerSettings	bool	DeleteStaticObjects		7
AreaBulldozerSettings	bool	DeleteGeneralProps		8
AreaBulldozerSettings	bool	DeleteStreetLights		9
AreaBulldozerSettings	bool	DeleteQuantityObjects		10
AreaBulldozerSettings	bool	DeleteBrandingObjects		11
AreaBulldozerSettings	bool	DeleteActivityLocations		12
AreaBulldozerSettings	bool	DeleteSpawnLocations		13
AreaBulldozerSettings	bool	DeleteMarkerNetworks		14
AreaBulldozerSettings	bool	DimMarkerBackground		15
AreaBulldozerSettings	int	MarkerBackgroundDarkness		16
AreaBulldozerSettings	bool	DeleteBuildingSubObjects		17
AreaBulldozerSettings	bool	DeleteNetworkSubObjects		18
AreaBulldozerSettings	bool	ProtectOwnedObjects		19
AreaBulldozerSettings	AreaBulldozerSelectionShape	SelectionShape		20
AreaBulldozerSettings	bool	UseSquareBrush		21
AreaBulldozerSettings	int	BrushRadius		22
AreaBulldozerSettings	int	LineWidth		23
AreaBulldozerSettings	bool	UseCurvedPolyline		24
AreaBulldozerSettings	int	PolylineRounding		25
AreaBulldozerSettings	int	SelectionLineThickness		26
AreaBulldozerSettings	int	UIScale		27
AreaBulldozerSettings	AreaBulldozerLauncherMode	LauncherMode		28
AreaBulldozerSettings	bool	UseUniversalModMenu		29
AreaBulldozerSettings	bool	LauncherButtonMovable		30
AreaBulldozerSettings	int	LauncherPositionX	TRUE	31
AreaBulldozerSettings	int	LauncherPositionY	TRUE	32
AreaBulldozerSettings	bool	ConfirmLargeSelection		33
AreaBulldozerSettings	int	LargeSelectionThreshold		34
AreaBulldozerSettings	ProxyBinding	ActivateToolBinding		35
AreaBulldozerSettings	bool	EnableDiagnosticLogging	TRUE	36
AreaOfEffectSettings	bool	IsEnabled		1
AreaOfEffectSettings	int	Opacity		2
AreaOfEffectSettings	VisualPreset	Preset		3
AreaOfEffectSettings	int	GlobalCircleSize		4
AreaOfEffectSettings	int	OverlayHeight		5
AreaOfEffectSettings	int	LabelDistance		6
AreaOfEffectSettings	int	BubbleSize		7
AreaOfEffectSettings	bool	ShowStats		8
AreaOfEffectSettings	bool	HighVis		9
AreaOfEffectSettings	bool	ShowOnHover		10
AreaOfEffectSettings	bool	EnablePreplacement		11
AreaOfEffectSettings	bool	EnableMiniInspector		12
AreaOfEffectSettings	int	ActiveMode		13
AreaOfEffectSettings	string	SavedLocalSettings	TRUE	14
AreaOfEffectSettings	string	SavedGlobalSettings	TRUE	15
AreaOfEffectSettings	float	WindowX		16
AreaOfEffectSettings	float	WindowY		17
AreaOfEffectSettings	string	SavedPresets	TRUE	18
AreaOfEffectSettings	float	InspectorX		19
AreaOfEffectSettings	float	InspectorY		20
AssetDisablerSettings	bool	Enable_Car01		1
AssetDisablerSettings	bool	Enable_Car02		2
AssetDisablerSettings	bool	Enable_Car03		3
AssetDisablerSettings	bool	Enable_Car04		4
AssetDisablerSettings	bool	Enable_Car05		5
AssetDisablerSettings	bool	Enable_Car06		6
AssetDisablerSettings	bool	Enable_Car07		7
AssetDisablerSettings	bool	Enable_Car08		8
AssetDisablerSettings	bool	Enable_Car09		9
AssetDisablerSettings	bool	Enable_Car10		10
AssetDisablerSettings	bool	Enable_MuscleCar01		11
AssetDisablerSettings	bool	Enable_MuscleCar02		12
AssetDisablerSettings	bool	Enable_MuscleCar03		13
AssetDisablerSettings	bool	Enable_MuscleCar04		14
AssetDisablerSettings	bool	Enable_MuscleCar05		15
AssetDisablerSettings	bool	Enable_Van01		16
AssetDisablerSettings	bool	Enable_Motorbike01		17
AssetDisablerSettings	bool	Enable_Motorbike02		18
AssetDisablerSettings	bool	Enable_Scooter01		19
AssetDisablerSettings	bool	Enable_ElectricScooter01		20
AssetDisablerSettings	bool	Enable_Bicycle01		21
AssetDisablerSettings	bool	Enable_Bicycle02		22
AssetDisablerSettings	bool	Enable_Bicycle03		23
AssetDisablerSettings	bool	Enable_CarTrailer01		24
AssetDisablerSettings	bool	Enable_CamperTrailer01		25
AssetDisablerSettings	bool	Enable_EU_TrainPassengerEngine01		26
AssetDisablerSettings	bool	Enable_NA_TrainPassengerEngine01		27
AssetDisablerSettings	bool	Enable_EU_TrainCargoEngine01		28
AssetDisablerSettings	bool	Enable_NA_TrainCargoEngine01		29
AssetDisablerSettings	bool	Enable_EU_TrainPassengerCar01		30
AssetDisablerSettings	bool	Enable_NA_TrainPassengerCar01		31
AssetDisablerSettings	bool	Enable_TrainCargoCar01		32
AssetDisablerSettings	bool	Enable_TrainForestryCar01		33
AssetDisablerSettings	bool	Enable_TrainOreCar01		34
AssetDisablerSettings	bool	Enable_TrainAgricultureCar01		35
AssetDisablerSettings	bool	Enable_TrainOilCar01		36
AssetDisablerSettings	bool	Enable_TramEngine01		37
AssetDisablerSettings	bool	Enable_TramEngineCO01		38
AssetDisablerSettings	bool	Enable_TramCar01		39
AssetDisablerSettings	bool	Enable_TramCarCO01		40
AssetDisablerSettings	bool	Enable_SubwayEngine01		41
AssetDisablerSettings	bool	Enable_SubwayCar01		42
AssetIconCreatorSettings	ProxyBinding	ToolKeyBinding		1
AssetIconCreatorSettings	ProxyBinding	FlippedApplyBinding		2
AssetIconCreatorSettings	ProxyBinding	LiftedApplyBinding		3
AssetIconCreatorSettings	ProxyBinding	FlippedLiftedApplyBinding		4
AssetIconCreatorSettings	bool	ClearMap		5
AssetIconCreatorSettings	bool	CameraDebug	TRUE	6
AssetIconCreatorSettings	int	OutputSize		7
AssetIconCreatorSettings	bool	CompressOutput		8
AssetIconCreatorSettings	bool	SaveThumbnailsPermanently		9
AssetIconCreatorSettings	bool	AutoSetIcon		10
AssetIconCreatorSettings	string	ThumbnailsFolder		11
AssetIconLibrarySettings	string	IconsStyle		1
AssetIconLibrarySettings	bool	OverwriteIcons		2
AssetMenuTweaksSettings	DensityLevel	Density		1
AssetMenuTweaksSettings	bool	RedesignedTabs		2
AssetMenuTweaksSettings	bool	Widescreen		3
AssetMenuTweaksSettings	bool	HideBadges		4
AssetMigrationUtilitySettings	bool	IsEnabled		1
AssetMigrationUtilitySettings	bool	PerObjectLogging	TRUE	2
AssetUIManagerSettings	bool	IsGame	TRUE	1
AssetUIManagerSettings	bool	BridgesInRoads		2
AssetUIManagerSettings	bool	PathwayInRoads		3
AssetUIManagerSettings	bool	PedestrianInPathway		4
AssetUIManagerSettings	bool	BikewayInRoads		5
AssetUIManagerSettings	bool	QuaysInRoads		6
AssetUIManagerSettings	bool	ParkingRoadsInRoads		7
AssetUIManagerSettings	int	PathwayPriorityDropdownVersion	TRUE	8
AssetUIManagerSettings	int	PathwayPriorityDropdown	TRUE	9
AssetUIManagerSettings	bool	SeparatedHospitals		10
AssetUIManagerSettings	bool	SeparateControlAndResearch		11
AssetUIManagerSettings	bool	SeparatedSchools		12
AssetUIManagerSettings	bool	SeparatedPolice		13
AssetUIManagerSettings	bool	SeparatedPocketParks		14
AssetUIManagerSettings	bool	SeparatedCityParks		15
AssetUIManagerSettings	bool	BaseGameAssetPacks	TRUE	16
AssetUIManagerSettings	bool	PDXModsAssetPacks	TRUE	17
AssetUIManagerSettings	bool	EnableAssetPacks	TRUE	18
AssetUIManagerSettings	bool	VerboseLogging	TRUE	19
AssetVariationChangerSettings	bool	EnableVariationChooser		1
AssetVariationChangerSettings	ProxyBinding	ToggleVariationChooser		2
AssetVariationChangerSettings	ProxyBinding	PreviousVariationBinding		3
AssetVariationChangerSettings	ProxyBinding	NextVariationBinding		4
AssetVariationChangerSettings	bool	LineToolCompatibility		5
AssetVariationChangerSettings	bool	TreeControllerCompatibility		6
AutoBulldozerSettings	bool	EnableMod		1
AutoBulldozerSettings	bool	DemolishAbandoned		2
AutoBulldozerSettings	bool	DemolishCondemned		3
AutoBulldozerSettings	bool	DemolishDestroyed		4
AutoBulldozerSettings	int	AbandonedGraceDays		5
AutoBulldozerSettings	int	SweepsPerDay		6
AutoDistrictNameStationsSettings	string	stationFormat		1
AutoDistrictNameStationsSettings	bool	allowUnique		2
AutoDistrictNameStationsSettings	bool	allowStreetnaming		3
AutoDistrictNameStationsSettings	bool	changeStations		4
AutoDistrictNameStationsSettings	int	stationsApplyTo		5
AutoDistrictNameStationsSettings	bool	changeDeathsCare		6
AutoDistrictNameStationsSettings	int	deathsCareApplyTo		7
AutoDistrictNameStationsSettings	bool	changeHospital		8
AutoDistrictNameStationsSettings	int	hospitalApplyTo		9
AutoDistrictNameStationsSettings	bool	changePark		10
AutoDistrictNameStationsSettings	int	parkApplyTo		11
AutoDistrictNameStationsSettings	bool	changePolice		12
AutoDistrictNameStationsSettings	int	policeApplyTo		13
AutoDistrictNameStationsSettings	bool	changeSchool		14
AutoDistrictNameStationsSettings	int	schoolApplyTo		15
AutoDistrictNameStationsSettings	bool	changeShelter		16
AutoDistrictNameStationsSettings	int	shelterApplyTo		17
AutoDistrictNameStationsSettings	bool	changeFirestation		18
AutoDistrictNameStationsSettings	int	firestationApplayTo		19
AutoDistrictNameStationsSettings	bool	changeGarbage		20
AutoDistrictNameStationsSettings	int	garbageApplyTo		21
AutoDistrictNameStationsSettings	bool	changePost		22
AutoDistrictNameStationsSettings	int	postApplyTo		23
AutoDistrictNameStationsSettings	bool	changeParking		24
AutoDistrictNameStationsSettings	int	parkingApplyTo		25
AutomaticBulldozeAndRepairSettings	bool	EnableAutoBulldoze		1
AutomaticBulldozeAndRepairSettings	bool	EnableAutoRepair		2
AutomaticBulldozeAndRepairSettings	bool	BulldozeAbandoned		3
AutomaticBulldozeAndRepairSettings	bool	BulldozeCondemned		4
AutomaticBulldozeAndRepairSettings	bool	BulldozeDestroyed		5
AutomaticBulldozeAndRepairSettings	bool	BulldozeFlooded		6
AutomaticBulldozeAndRepairSettings	IntervalType	IntervalType		7
AutomaticBulldozeAndRepairSettings	int	NumberOfBuildings		8
AutomaticBulldozeAndRepairSettings	bool	ShowCounters		9
AutoNightLODExtenderSettings	bool	EnableAdaptiveLod		1
AutoNightLODExtenderSettings	int	AdaptiveResponseSpeed		2
AutoNightLODExtenderSettings	int	TargetFps		3
AutoNightLODExtenderSettings	float	MinAdaptiveLod		4
AutoNightLODExtenderSettings	float	MaxAdaptiveLod		5
AutoNightLODExtenderSettings	bool	EnableStillCameraStabilization		6
AutoNightLODExtenderSettings	bool	EnableNightLodMultiplier		7
AutoNightLODExtenderSettings	float	NightLodMultiplier		8
AutoNightLODExtenderSettings	int	NightMaxLightCount		9
AutoVehicleRenamerSettings	bool	IsInGameOrEditor	TRUE	1
AutoVehicleRenamerSettings	bool	IsDetailedDescriptionsRunning		2
AutoVehicleRenamerSettings	bool	EnableDefault		3
AutoVehicleRenamerSettings	string	Separator		4
AutoVehicleRenamerSettings	TextFormatEnum	TextFormat		5
BetterBulldozerSettings	bool	AllowRemovingSubElementNetworks		1
BetterBulldozerSettings	bool	AllowRemovingExtensions		2
BetterBulldozerSettings	bool	AutomaticRemovalManicuredGrass		3
BetterBulldozerSettings	bool	AutomaticRemovalFencesAndHedges		4
BetterBulldozerSettings	bool	AutomaticRemovalBrandingObjects		5
BetterBulldozerSettings	BetterBulldozerUISystem.SelectionMode	PreviousSelectionMode	TRUE	6
BetterEducationInfoviewSettings	bool	OverlayEnabled		1
BetterEducationInfoviewSettings	bool	HideEmptySchools		2
BetterEducationInfoviewSettings	int	OverlayScale		3
BetterEducationInfoviewSettings	int	YellowThreshold		4
BetterEducationInfoviewSettings	int	RedThreshold		5
BetterMoonLightSettings	bool	OverwriteNightLighting		1
BetterMoonLightSettings	float	AmbientLight		2
BetterMoonLightSettings	float	NightSkyLight		3
BetterMoonLightSettings	float	MoonDirectionalLight		4
BetterMoonLightSettings	float	MoonDiskSize		5
BetterMoonLightSettings	float	MoonDiskIntensity		6
BetterMoonLightSettings	float	NightLightTemperature		7
BetterMoonLightSettings	float	MoonTemperature		8
BetterMoonLightSettings	float	MoonLightAveragerStrength		9
BetterMoonLightSettings	float	StarfieldEmmisionStrength		10
BetterMoonLightSettings	bool	DoZRotation		11
BetterMoonLightSettings	float	ZRotation		12
BetterMoonLightSettings	bool	MoonLightIntensityBalance		13
BetterMoonLightSettings	int	AuroraOverwriteLevel		14
BetterMoonLightSettings	float	AuroraIntensity		15
BetterMoonLightSettings	bool	Contra	TRUE	16
BetterMoonLightSettings	bool	ShowOptionsInDeveloperPanel		17
BetterMoonLightSettings	bool	OverrideTexture		18
BetterMoonLightSettings	string	SelectedTexture		19
BetterTransitViewSettings	ProxyBinding	ToggleToolBinding		1
BetterTransitViewSettings	bool	ShowAverageWaitTime		2
BetterTransitViewSettings	bool	MapModeActivatedByDefault		3
BetterTransitViewSettings	bool	DefaultBusVisible		4
BetterTransitViewSettings	bool	DefaultTrainVisible		5
BetterTransitViewSettings	bool	DefaultTramVisible		6
BetterTransitViewSettings	bool	DefaultSubwayVisible		7
BetterTransitViewSettings	bool	DefaultShipVisible		8
BetterTransitViewSettings	bool	DefaultAirplaneVisible		9
BetterTransitViewSettings	bool	DefaultCargoVisible		10
BeyondNumbersSettings	bool	HidePopulation		1
BeyondNumbersSettings	bool	HideDemand		2
BeyondNumbersSettings	bool	HideDate		3
BeyondNumbersSettings	bool	HideTime		4
BeyondNumbersSettings	bool	ShowMoneyTrendHourly		5
BeyondNumbersSettings	bool	ShowMoneyTrendMonthly		6
BeyondNumbersSettings	bool	ShowPopTrendHourly		7
BeyondNumbersSettings	bool	ShowPopTrendMonthly		8
BeyondNumbersSettings	bool	EnableMoneyTooltip		9
BeyondNumbersSettings	bool	ShowTooltipIncome		10
BeyondNumbersSettings	bool	ShowTooltipExpense		11
BeyondNumbersSettings	bool	ShowTooltipNet		12
BeyondNumbersSettings	bool	ShowTooltipHourlyValues		13
BeyondNumbersSettings	bool	ShowTooltipMonthlyValues		14
BikesPlusPathsSettings	bool	EnableBikesAndPaths		1
BikesPlusPathsSettings	float	SpeedScalar		2
BikesPlusPathsSettings	float	PathSpeedScalar		3
BitulaModSettings	string	JobSeekerMilestoneText		1
BitulaModSettings	int	JobSeekerFailureIncrement		2
BitulaModSettings	bool	PrioritizeAdultEmployment		3
BitulaModSettings	bool	AcceptLowerJobs		4
BitulaModSettings	bool	AcceptJobSwitch		5
BoundaryLinesModifierSettings	float	Width		1
BoundaryLinesModifierSettings	float	Length		2
BoundaryLinesModifierSettings	string	CityBorderColor		3
BoundaryLinesModifierSettings	string	MapBorderColor		4
BridgeTheLanguageGapSettings	bool	Enabled		1
BridgeTheLanguageGapSettings	bool	ScopeModOptions		2
BridgeTheLanguageGapSettings	bool	ScopeAssetNames		3
BridgeTheLanguageGapSettings	bool	ScopeAssetDescriptions		4
BridgeTheLanguageGapSettings	bool	ScopeGameCore		5
BridgeTheLanguageGapSettings	bool	ScopeModName		6
BridgeTheLanguageGapSettings	bool	ScopeWorldLabels		7
BridgeTheLanguageGapSettings	string	TargetLocale		8
BridgeTheLanguageGapSettings	Engine	TranslationEngine		9
BridgeTheLanguageGapSettings	string	MicrosoftKey		10
BridgeTheLanguageGapSettings	string	MicrosoftRegion		11
BridgeTheLanguageGapSettings	string	DeepLKey		12
BridgeTheLanguageGapSettings	string	BaiduAppId		13
BridgeTheLanguageGapSettings	string	BaiduKey		14
BrushSizeUnlimiterSettings	float	MaxBrushSize		1
BrushSizeUnlimiterSettings	bool	BrushPreviewMod		2
BrushSizeUnlimiterSettings	int	MakeSureSave	TRUE	3
BuildingHeightAndFootprintSettings	HeightUnitKind	HeightUnit		1
BuildingHeightAndFootprintSettings	int	SeaLevelOffsetMeters		2
BuildingReviverSettings	bool	EnableMod		1
BuildingReviverSettings	bool	ReviveAbandoned		2
BuildingReviverSettings	int	SweepsPerDay		3
BuildingUsageTrackerSettings	bool	showEnrouteCimCounts		1
BuildingUsageTrackerSettings	bool	showDetailedEnrouteCimCounts		2
BuildingUsageTrackerSettings	bool	showEnrouteVehicleCounts		3
BuildingUsageTrackerSettings	bool	showDetailedEnrouteVehicleCounts		4
BuildingUsageTrackerSettings	bool	showBuildingOccupancy		5
BuildingUsageTrackerSettings	bool	showDetailedBuildingOccupancy		6
BuildingUseSettings	ZonedBuildingColorChoice	ZonedBuildingColor		1
BuildingUseSettings	ServiceBuildingColorChoice	ServiceBuildingColor		2
BuildingUseSettings	ProductionInfoviewColorChoice	ProductionInfoviewColor		3
BuildingUseSettings	bool	ReverseColors		4
BuildingUseSettings	bool	CountVehiclesInUse	TRUE	5
BuildingUseSettings	bool	CountVehiclesInMaintenance	TRUE	6
BuildingUseSettings	bool	EfficiencyMaxColor200Percent	TRUE	7
BuildingUseSettings	bool	ProductionMaxColor200Percent	TRUE	8
